법원/사건번호,물건번호,물건용도,소재지 및 내역,감정평가액,최저매각가격,담당계/매각기일,진행상태
서울중앙지방법원 2008타경25092 2015타경19958 (중복),1,아파트,서울특별시 성북구 정릉동 508-123 1층102호 [집합건물 철근콘크리트조 67.87㎡],"194,000,000","194,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),2,아파트,서울특별시 성북구 정릉동 508-123 1층103호 [집합건물 철근콘크리트조 68.70㎡],"197,000,000","197,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),3,아파트,서울특별시 성북구 정릉동 508-123 1층104호 [집합건물 철근콘크리트조 68.70㎡],"197,000,000","197,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),4,아파트,서울특별시 성북구 정릉동 508-123 2층202호 [집합건물 철근콘크리트조 67.87㎡],"216,000,000","216,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),5,아파트,서울특별시 성북구 정릉동 508-123 2층203호 [집합건물 철근콘크리트조 68.70㎡],"218,000,000","218,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),6,아파트,서울특별시 성북구 정릉동 508-123 2층204호 [집합건물 철근콘크리트조 68.70㎡],"218,000,000","218,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),7,아파트,서울특별시 성북구 정릉동 508-123 3층302호 [집합건물 철근콘크리트조 67.87㎡],"216,000,000","216,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),8,아파트,서울특별시 성북구 정릉동 508-123 3층304호 [집합건물 철근콘크리트조 68.70㎡],"218,000,000","218,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),9,아파트,서울특별시 성북구 정릉동 508-123 4층401호 [집합건물 철근콘크리트조 82.71㎡],"263,000,000","263,000,000 (100%)",경매2계 2026.06.25,유찰 1회
서울중앙지방법원 2008타경25092 2015타경19958 (중복),10,아파트,서울특별시 성북구 정릉동 508-123 4층402호 [집합건물 철근콘크리트조 67.87㎡],"216,000,000","216,000,000 (100%)",경매2계 2026.06.25,유찰 1회
